"Country","ISONum","ISOAlph","Subregion","SDG","UNFPAGroup","Economic_Empowerment_Resource_gwp1_n_5","Economic_Empowerment_Resource_gwp2_n_5","Economic_Empowerment_Resource_SL_CPA_YEMP","Economics_Resource","Economic_Empowerment_Agency_Account_Ratio","Economics_Agency","Economic_Empowerment_Achievement_BetterOff","Economic_Empowerment_Achievement_SL_TLF_NEET_Both","Economic_Empowerment_Achievement_WorkPov","Economics_Achievement","Economics"
"Morocco",504,"MAR","Northern Africa","Northern Africa and Western Asia","Arab States",0.8344266,0.6766614,1,0.837029332496304,0.741467481792133,0.741467481792133,0.370583769340506,0.707072022046159,0.997,0.69155192977067,0.756682913929686
"Mozambique",508,"MOZ","Eastern Africa","Sub-Saharan Africa","East & Southern Africa",0.5648237,0.1788115,0.580645161290323,0.441426786655347,1,1,0.575277820241892,0.761880542627983,0.4093,0.582152787041139,0.674526523890969
"Oman",512,"OMN","Western Asia","Northern Africa and Western Asia","Arab States",0.90252657298316,0.702729993260188,0.636363636363636,0.747206733455121,0.96482216462372,0.96482216462372,0.370583769340506,0.707072022046159,0.9991,0.69225192976997,0.801426941814843
"Namibia",516,"NAM","Southern Africa","Sub-Saharan Africa","East & Southern Africa",0.8379292,0.5934377,0.666666666666667,0.699344521522878,0.99287964745207,0.99287964745207,0.575277820241892,0.682,0.8625,0.706592606040705,0.799605590872279
"Nepal",524,"NPL","Southern Asia","Central and Southern Asia","Asia & the Pacific",0.7565612,0.3908662,0.592592592592593,0.580006663617524,0.814375044634679,0.814375044634679,0.734026392371266,0.646,0.9564,0.77880879667828,0.724396834252431
"Netherlands",528,"NLD","Western Europe","Europe and Northern America","Non-UNFPA Country",1,1,1,0.999999999,1,1,0.5141687685561,0.957,0.999482041180057,0.823550269088502,0.941183421754984
"Curaçao",531,"CUW","Caribbean","Latin America and the Caribbean","Non-UNFPA Country",0.842850875161716,0.734129798775229,0.648148148148148,0.741709606619988,0.869358224887103,0.869358224887103,0.577988089087824,0.949,0.969364555651906,0.832117547414459,0.814395125492789
"Aruba",533,"ABW","Caribbean","Latin America and the Caribbean","Latin America & the Caribbean",0.842850875161716,0.734129798775229,0.648148148148148,0.741709606619988,0.869358224887103,0.869358224887103,0.577988089087824,0.790124254889638,0.969364555651906,0.779158965763964,0.796742264960276
"New Caledonia",540,"NCL","Melanesia","Oceania (excluding Australia and New Zealand)","Non-UNFPA Country",0.931385972587569,0.836913757954419,0.5,0.756099909424563,1,1,0.773509856822251,0.736331355545413,0.707629671407553,0.739156960519249,0.831752289149518
"Vanuatu",548,"VUT","Melanesia","Oceania (excluding Australia and New Zealand)","Asia & the Pacific",0.931385972587569,0.836913757954419,0.5,0.756099909424563,1,1,0.773509856822251,0.69,0.707629671407553,0.723713175352888,0.826604360765879
"New Zealand",554,"NZL","Australia/New Zealand","Australia/New Zealand","Non-UNFPA Country",0.9717841,0.9713882,0.666666666666667,0.869946321352276,0.981396020235141,0.981396020235141,0.514285714285714,0.884,0.999482041180057,0.799255917689335,0.883532752208718
"Nicaragua",558,"NIC","Central America","Latin America and the Caribbean","Latin America & the Caribbean",0.847557,0.5844331,0.648148148148148,0.693379415356003,1,1,0.469565217391304,0.986,0.853,0.769521738360913,0.820967050418005
"Niger",562,"NER","Western Africa","Sub-Saharan Africa","West & Central Africa",0.5382618,0.07399954,0.580645161290323,0.397635500032472,0.829389172252061,0.829389172252061,0.575277820241892,0.748,0.5727,0.631992606115305,0.619672425513607
"Nigeria",566,"NGA","Western Africa","Sub-Saharan Africa","West & Central Africa",0.706366,0.352293,0.666666666666667,0.575108554980447,0.913913045664477,0.913913045664477,0.56508875739645,0.686,0.5661,0.605729585193087,0.698250394581087
"Norway",578,"NOR","Northern Europe","Europe and Northern America","Non-UNFPA Country",1,1,0.9,0.9666666657,1,1,0.5141687685561,0.952,0.999482041180057,0.821883602423502,0.929516755111651
"Micronesia (Fed. States of)",583,"FSM","Micronesia","Oceania (excluding Australia and New Zealand)","Asia & the Pacific",0.931385972587569,0.836913757954419,0.5,0.756099909424563,1,1,0.773509856822251,0.763,0.707629671407553,0.748046508661888,0.834715471860768
"Pakistan",586,"PAK","Southern Asia","Central and Southern Asia","Asia & the Pacific",0.566421,0.1875894,0.666666666666667,0.473559021748663,0.816770226757341,0.816770226757341,0.640776699029126,0.69,0.9856,0.772125565570916,0.687484937338155
"Panama",591,"PAN","Central America","Latin America and the Caribbean","Latin America & the Caribbean",0.8044081,0.709371,0.648148148148148,0.72064241532874,0.845524216173311,0.845524216173311,0.577988089087824,0.833,0.9935,0.801496028894445,0.789220886009611
"Papua New Guinea",598,"PNG","Melanesia","Oceania (excluding Australia and New Zealand)","Asia & the Pacific",0.931385972587569,0.836913757954419,0.5,0.756099909424563,1,1,0.773509856822251,0.723,0.6808,0.725769951548314,0.827289952830335
"Paraguay",600,"PRY","South America","Latin America and the Caribbean","Latin America & the Caribbean",0.8705339,0.7767986,0.666666666666667,0.771333054784223,0.801673295971364,0.801673295971364,0.577988089087824,0.819,0.9959,0.797629362231645,0.790211903538866
"Peru",604,"PER","South America","Latin America and the Caribbean","Latin America & the Caribbean",0.844451,0.6332167,0.666666666666667,0.714778121507444,0.895676888792198,0.895676888792198,0.706110498093143,0.832,0.967,0.835036831862678,0.815163946572276
"Philippines",608,"PHL","South-Eastern Asia","Eastern and South-Eastern Asia","Asia & the Pacific",0.8621169,0.7439855,1,0.868700799131299,0.713456777176196,0.713456777176196,0.431512563202133,0.812,0.9726,0.73870418699534,0.773620586993991
"Poland",616,"POL","Eastern Europe","Europe and Northern America","Non-UNFPA Country",0.9773413,0.9866124,0.9,0.954651232378682,0.810643053089954,0.810643053089954,0.5141687685561,0.919,0.999482041180057,0.810883602434502,0.858725961775653
"Portugal",620,"PRT","Southern Europe","Europe and Northern America","Non-UNFPA Country",1,0.9551393,1,0.985046432348287,0.907980832242757,0.907980832242757,0.5141687685561,0.92,0.999482041180057,0.811216935767502,0.901414732551434
"Guinea-Bissau",624,"GNB","Western Africa","Sub-Saharan Africa","West & Central Africa",0.641098157485362,0.303555070859093,0.666666666666667,0.537106631133267,0.966538633115383,0.966538633115383,0.575277820241892,0.761880542627983,0.3702,0.569119453720839,0.690921571965575
