"Country","ISONum","ISOAlph","Subregion","SDG","UNFPAGroup","Index","Economics","Education","Gender","Politics","Safety","SRH","Economics_Achievement","Economics_Agency","Economics_Resource","Education_Achievement","Education_Agency","Education_Resource","Gender_Achievement","Gender_Agency","Gender_Resource","Politics_Achievement","Politics_Agency","Politics_Resource","Safety_Achievement","Safety_Agency","Safety_Resource","SRH_Achievement","SRH_Agency","SRH_Resource","Indicator_N"
"Botswana",72,"BWA","Southern Africa","Sub-Saharan Africa","East & Southern Africa",0.551100140832326,0.697072011332051,0.452121230860895,0.623273076686164,0.438145994995397,0.631673308357304,0.515300834699777,0.513284258887522,1,0.577931777199846,0.264980167392068,0.39090452454808,0.700479001998901,0.521949736708625,0.476,0.871869495219688,0,0.530611497694728,0.7838264886059,0.825936986114822,0.379082940852109,0.69,0.612492504792725,0.240909488915724,0.692500511936786,20
"Brazil",76,"BRA","South America","Latin America and the Caribbean","Latin America & the Caribbean",0.643947120075666,0.727843631121362,0.727736385298384,0.805583309717382,0.498180967190091,0.559316823813847,0.599699355376665,0.58431225622048,0.79243958457836,0.806779054748777,0.6732,1,0.510009158078362,0.655749931568897,0.761,1,0.354145485330044,0.382361857615878,0.758035560118893,0.707782835748567,0.460167637370925,0.51,0.877235599343992,0.302685589840207,0.619176878744893,28
"Belize",84,"BLZ","Central America","Latin America and the Caribbean","Latin America & the Caribbean",0.617573451002041,0.697644947908625,0.615060104655665,0.802835293847115,0.527800521285668,0.592844313182526,0.514686486375019,0.539526626424099,0.916636884274721,0.636771335119988,0.4944114,0.836070251464843,0.514698664347331,0.610124931568897,0.798380952380952,1,0.354145485330044,0.471220519991469,0.758035560118893,0.814322358591225,0.374210582734887,0.59,0.868565451758459,0.296598714390362,0.378895294520295,20
"Solomon Islands",90,"SLB","Melanesia","Oceania (excluding Australia and New Zealand)","Asia & the Pacific",0.561337273945828,0.75337423909809,0.49005043554105,0.686319656664947,0.353134634369607,0.619370312019398,0.564513855516626,0.559578365629829,1,0.700544353924563,0.260925397058824,0.425770907931858,0.78345500310262,0.474567307692308,0.656833333333333,0.927558331028159,0,0.298720143484465,0.760683760683761,0.794390251177855,0.523720686738451,0.54,0.823595425659041,0.193669433182671,0.676276709401709,16
"Brunei Darussalam",96,"BRN","South-Eastern Asia","Eastern and South-Eastern Asia","Non-UNFPA Country",0.668747445900028,0.811367504975369,0.699004126493635,0.811891068179355,0.381025310050622,0.776120308256214,0.656893299497604,0.602245032253829,1,0.831857485106381,0.599863627246118,0.904010094536675,0.593138659795125,0.778839873640404,0.656833333333333,1,0.147551434756124,0.298720143484465,0.696804353054353,0.974640240358552,0.523720686738451,0.83,0.964144883846013,0.292265667139796,0.714269349477683,11
"Bulgaria",100,"BGR","Eastern Europe","Europe and Northern America","Non-UNFPA Country",0.696851260816031,0.779509602640101,0.744673180621086,0.88137864865522,0.477423730218682,0.73958368810792,0.63386899180253,0.622541242332665,0.772243202203244,0.943744365722922,0.8006,0.915473259819879,0.517946284277397,0.878209106434905,0.799,0.966926842174891,0.167333333333333,0.531104902495556,0.733832956259427,0.952526499759568,0.526224566782944,0.74,0.929668103065694,0.267308036331415,0.704630837912088,18
"Myanmar",104,"MMR","South-Eastern Asia","Eastern and South-Eastern Asia","Asia & the Pacific",0.493590557496344,0.590813682962788,0.460146303449212,0.744435896691462,0.199463879521842,0.579139346881844,0.61855729766244,0.614199009286791,0.599710130821435,0.558531910552579,0.1653339,0.649298010932075,0.565807000796,0.782307692307692,0.451,1,0.0153333333333333,0.388613861386139,0.194444444444444,0.946625963175029,0.420792079207921,0.37,0.861354593356037,0.294409894079548,0.699907407407407,40
"Burundi",108,"BDI","Eastern Africa","Sub-Saharan Africa","East & Southern Africa",0.522655611317544,0.631216795497255,0.311006241786862,0.736520831073574,0.461593918690892,0.572256055760834,0.533716393708128,0.385217592348922,1,0.508432796036493,0.1238276,0.389902793036567,0.419288333257039,0.628173076923077,0.635666666666667,0.94572275184054,0.0635719691644407,0.530611497694728,0.790598290598291,0.93768522814716,0.379082940852109,0.4,0.742509419547346,0.299274683813109,0.559365079365079,30
"Belarus",112,"BLR","Eastern Europe","Europe and Northern America","Eastern Europe & Central Asia",0.709046332399768,0.787299727478594,0.855130319129136,0.888622689512459,0.429204601278424,0.757916187878537,0.652938584608368,0.627513895267673,0.858203468183966,0.87618182134604,0.9003093,1,0.665081659952799,0.870868071203245,0.795,1,0.121333333333333,0.432447515530126,0.733832956259427,0.917492456964457,0.546256108944902,0.81,0.96957529423883,0.267308036331415,0.721932425213675,28
"Cambodia",116,"KHM","South-Eastern Asia","Eastern and South-Eastern Asia","Asia & the Pacific",0.585877153792556,0.745055461647099,0.427500398660363,0.788462745604313,0.373037027764773,0.665289928032107,0.648888657759247,0.609645032246429,1,0.625521354930034,0.2122902,0.498115666707357,0.572095330556234,0.784375,0.591,0.990013239178327,0.147551434756124,0.298720143484465,0.672839506172839,0.952149099353739,0.523720686738451,0.52,0.868328220577469,0.287782199091383,0.790555555555556,32
