"Country","ISONum","ISOAlph","Subregion","SDG","UNFPAGroup","Politics_Resource_CollectData","Politics_Resource_YouthPolicy_Num","Politics_Resource","Politics_Agency_active_member","Politics_Agency_Vote_National","Politics_Agency","Politics_Achievement_Parliament30","Politics_Achievement","Politics"
"China",156,"CHN","Eastern Asia","Eastern and South-Eastern Asia","Asia & the Pacific",0.393608706108706,0,0.196804353054353,0.094599520330782,0.121713653705571,0.108156587018177,0.147551434756124,0.147551434756124,0.15083745812538
"China, Taiwan Province of China",158,"TWN","Eastern Asia","Eastern and South-Eastern Asia","Non-UNFPA Country",0.393608706108706,1,0.696804353054353,0.127455976813076,0.422132954213987,0.274794465513532,0.147551434756124,0.147551434756124,0.373050084068286
"Colombia",170,"COL","South America","Latin America and the Caribbean","Latin America & the Caribbean",0.656565656565657,1,0.828282828282828,0.438356164383562,0.742465753424657,0.59041095890411,0.484666666666667,0.484666666666667,0.634453483983415
"Comoros",174,"COM","Eastern Africa","Sub-Saharan Africa","East & Southern Africa",0.567652977211801,0,0.2838264886059,0.522447439313902,0.538775556075554,0.530611497694728,0.0635719691644407,0.0635719691644407,0.292669984862353
"Mayotte",175,"MYT","Eastern Africa","Sub-Saharan Africa","Non-UNFPA Country",0.567652977211801,0.744186046511628,0.655919511861714,0.522447439313902,0.538775556075554,0.530611497694728,0.0635719691644407,0.0635719691644407,0.41670099249026
"Congo",178,"COG","Middle Africa","Sub-Saharan Africa","West & Central Africa",0.601851851851852,0,0.300925925925926,0.522447439313902,0.538775556075554,0.530611497694728,0.132666666666667,0.132666666666667,0.321401363107705
"Democratic Republic of the Congo",180,"COD","Middle Africa","Sub-Saharan Africa","East & Southern Africa",0.355555555555556,1,0.677777777777778,0.522447439313902,0.538775556075554,0.530611497694728,0.0635719691644407,0.0635719691644407,0.423987081121662
"Costa Rica",188,"CRI","Central America","Latin America and the Caribbean","Latin America & the Caribbean",0.516071120237787,1,0.758035560118893,0.2771903589872,0.665250680995738,0.471220519991469,0.234,0.234,0.487752026215702
"Croatia",191,"HRV","Southern Europe","Europe and Northern America","Non-UNFPA Country",0.467665912518854,1,0.733832956259427,0.399131677064735,0.663078127926376,0.531104902495556,0.044,0.044,0.436312619148682
"Cuba",192,"CUB","Caribbean","Latin America and the Caribbean","Latin America & the Caribbean",0.516071120237787,0,0.258035560118893,0.2771903589872,0.665250680995738,0.471220519991469,0.354145485330044,0.354145485330044,0.361133854785668
"Cyprus",196,"CYP","Western Asia","Northern Africa and Western Asia","Non-UNFPA Country",0.443681715110286,0,0.221840857555143,0.31987340486779,0.513949736172807,0.416911570520298,0.119333333333333,0.119333333333333,0.25269525355023
"Czechia",203,"CZE","Eastern Europe","Europe and Northern America","Non-UNFPA Country",0.467665912518854,1,0.733832956259427,0.399131677064735,0.663078127926376,0.531104902495556,0.166666666666667,0.166666666666667,0.477201507996682
