"Country","ISONum","ISOAlph","Subregion","SDG","UNFPAGroup","Politics_Resource_CollectData","Politics_Resource_YouthPolicy_Num","Politics_Resource","Politics_Agency_active_member","Politics_Agency_Vote_National","Politics_Agency","Politics_Achievement_Parliament30","Politics_Achievement","Politics"
"Curaçao",531,"CUW","Caribbean","Latin America and the Caribbean","Non-UNFPA Country",0.516071120237787,0.87037037037037,0.693220745304079,0.2771903589872,0.665250680995738,0.471220519991469,0.354145485330044,0.354145485330044,0.506195583035668
"Aruba",533,"ABW","Caribbean","Latin America and the Caribbean","Latin America & the Caribbean",0.516071120237787,0.87037037037037,0.693220745304079,0.2771903589872,0.665250680995738,0.471220519991469,0.354145485330044,0.354145485330044,0.506195583035668
"New Caledonia",540,"NCL","Melanesia","Oceania (excluding Australia and New Zealand)","Non-UNFPA Country",0.397435897435897,1,0.698717948717949,0.274537333096086,0.322902953872844,0.298720143484465,0,0,0.332479363734992
"Vanuatu",548,"VUT","Melanesia","Oceania (excluding Australia and New Zealand)","Asia & the Pacific",0.397435897435897,1,0.698717948717949,0.274537333096086,0.322902953872844,0.298720143484465,0,0,0.332479363734992
"New Zealand",554,"NZL","Australia/New Zealand","Australia/New Zealand","Non-UNFPA Country",0.467665912518854,1,0.733832956259427,0.571428571428572,0.914285714285714,0.742857142857143,0.111333333333333,0.111333333333333,0.529341143620627
"Nicaragua",558,"NIC","Central America","Latin America and the Caribbean","Latin America & the Caribbean",0.696969696969697,1,0.848484848484848,0.527536231884058,0.501449275362319,0.514492753623188,0,0,0.45432586691502
"Niger",562,"NER","Western Africa","Sub-Saharan Africa","West & Central Africa",0.641025641025641,1,0.82051282051282,0.522447439313902,0.538775556075554,0.530611497694728,0.08,0.08,0.477041438925475
"Nigeria",566,"NGA","Western Africa","Sub-Saharan Africa","West & Central Africa",0.388888888888889,1,0.694444444444444,0.577142857142858,0.677142857142857,0.627142857142857,0,0,0.440529100088572
"Norway",578,"NOR","Northern Europe","Europe and Northern America","Non-UNFPA Country",0.467665912518854,1,0.733832956259427,0.399131677064735,0.663078127926376,0.531104902495556,0.907333333333333,0.907333333333333,0.724090396638682
"Micronesia (Fed. States of)",583,"FSM","Micronesia","Oceania (excluding Australia and New Zealand)","Asia & the Pacific",0.397435897435897,1,0.698717948717949,0.274537333096086,0.322902953872844,0.298720143484465,0,0,0.332479363734992
"Pakistan",586,"PAK","Southern Asia","Central and Southern Asia","Asia & the Pacific",0.366666666666667,0,0.183333333333333,0.533333333333334,0.549206349206349,0.541269841269842,0.138666666666667,0.138666666666667,0.287756613468857
"Panama",591,"PAN","Central America","Latin America and the Caribbean","Latin America & the Caribbean",0.464646464646465,1,0.732323232323232,0.2771903589872,0.665250680995738,0.471220519991469,0.354145485330044,0.354145485330044,0.519229745362352
"Papua New Guinea",598,"PNG","Melanesia","Oceania (excluding Australia and New Zealand)","Asia & the Pacific",0.273504273504274,1,0.636752136752137,0.274537333096086,0.322902953872844,0.298720143484465,0,0,0.311824093100377
"Paraguay",600,"PRY","South America","Latin America and the Caribbean","Latin America & the Caribbean",0.516071120237787,1,0.758035560118893,0.2771903589872,0.665250680995738,0.471220519991469,0.354145485330044,0.354145485330044,0.527800521285668
"Peru",604,"PER","South America","Latin America and the Caribbean","Latin America & the Caribbean",0.525925925925926,1,0.762962962962963,0.183615905089072,0.750728935762092,0.467172420425582,0.354145485330044,0.354145485330044,0.528093622378103
"Philippines",608,"PHL","South-Eastern Asia","Eastern and South-Eastern Asia","Asia & the Pacific",0.383838383838384,0.5,0.441919191919192,0.476003659243148,0.639178184556221,0.557590921899685,0.147551434756124,0.147551434756124,0.382353849142646
"Poland",616,"POL","Eastern Europe","Europe and Northern America","Non-UNFPA Country",0.467665912518854,0.828947368421053,0.648306640469953,0.319135201861414,0.777295476272668,0.548215339067041,0.29,0.29,0.495507326016824
"Portugal",620,"PRT","Southern Europe","Europe and Northern America","Non-UNFPA Country",0.467665912518854,0,0.233832956259427,0.399131677064735,0.663078127926376,0.531104902495556,0.348,0.348,0.370979285880682
"Guinea-Bissau",624,"GNB","Western Africa","Sub-Saharan Africa","West & Central Africa",0.811965811965812,0,0.405982905982906,0.522447439313902,0.538775556075554,0.530611497694728,0.0635719691644407,0.0635719691644407,0.333388790613969
"Timor-Leste",626,"TLS","South-Eastern Asia","Eastern and South-Eastern Asia","Asia & the Pacific",0.333333333333333,1,0.666666666666667,0.274537333096086,0.322902953872844,0.298720143484465,0.147551434756124,0.147551434756124,0.370979414598106
"Puerto Rico",630,"PRI","Caribbean","Latin America and the Caribbean","Non-UNFPA Country",0.516071120237787,0.87037037037037,0.693220745304079,0.56,0.368,0.464,0.354145485330044,0.354145485330044,0.503788743040919
"Qatar",634,"QAT","Western Asia","Northern Africa and Western Asia","Arab States",0.443681715110286,0,0.221840857555143,0.133056512762734,0.5644942188211,0.348775365791917,0,0,0.190205407592148
"Réunion",638,"REU","Eastern Africa","Sub-Saharan Africa","Non-UNFPA Country",0.567652977211801,0.744186046511628,0.655919511861714,0.522447439313902,0.538775556075554,0.530611497694728,0.0635719691644407,0.0635719691644407,0.41670099249026
"Romania",642,"ROU","Eastern Europe","Europe and Northern America","Non-UNFPA Country",0.38562091503268,1,0.69281045751634,0.138995367898065,0.629933637311646,0.384464502604855,0.425333333333333,0.425333333333333,0.50086943065064
"Russian Federation",643,"RUS","Eastern Europe","Europe and Northern America","Non-UNFPA Country",0.236111111111111,1,0.618055555555556,0.132498049584387,0.617294442979587,0.374896246281987,0.179283684441519,0.179283684441519,0.390745161702275
"Rwanda",646,"RWA","Eastern Africa","Sub-Saharan Africa","East & Southern Africa",0.683760683760684,1,0.841880341880342,0.706666666666666,0.846666666666667,0.776666666666667,0.166666666666667,0.166666666666667,0.595071224476154
"Saint Lucia",662,"LCA","Caribbean","Latin America and the Caribbean","Latin America & the Caribbean",0.516071120237787,0.87037037037037,0.693220745304079,0.2771903589872,0.665250680995738,0.471220519991469,0.354145485330044,0.354145485330044,0.506195583035668
"Saint Vincent and the Grenadines",670,"VCT","Caribbean","Latin America and the Caribbean","Latin America & the Caribbean",0.516071120237787,0.87037037037037,0.693220745304079,0.2771903589872,0.665250680995738,0.471220519991469,0.354145485330044,0.354145485330044,0.506195583035668
"Sao Tome and Principe",678,"STP","Middle Africa","Sub-Saharan Africa","West & Central Africa",0.8125,0,0.40625,0.522447439313902,0.538775556075554,0.530611497694728,0.0635719691644407,0.0635719691644407,0.333477821952912
"Saudi Arabia",682,"SAU","Western Asia","Northern Africa and Western Asia","Arab States",0.443681715110286,0,0.221840857555143,0.133056512762734,0.568157040821949,0.350606776792341,0.0924493325750226,0.0924493325750226,0.22163232208587
"Senegal",686,"SEN","Western Africa","Sub-Saharan Africa","West & Central Africa",0.69047619047619,1,0.845238095238095,0.522447439313902,0.538775556075554,0.530611497694728,0,0,0.458616530518991
"Serbia",688,"SRB","Southern Europe","Europe and Northern America","Eastern Europe & Central Asia",0.467665912518854,1,0.733832956259427,0.228070175438596,0.605263157894737,0.416666666666666,0.179283684441519,0.179283684441519,0.443261102012609
"Seychelles",690,"SYC","Eastern Africa","Sub-Saharan Africa","East & Southern Africa",0.567652977211801,0,0.2838264886059,0.522447439313902,0.538775556075554,0.530611497694728,0.0635719691644407,0.0635719691644407,0.292669984862353
"Sierra Leone",694,"SLE","Western Africa","Sub-Saharan Africa","West & Central Africa",0.451851851851852,1,0.725925925925926,0.522447439313902,0.538775556075554,0.530611497694728,0.0635719691644407,0.0635719691644407,0.440036463821662
"Singapore",702,"SGP","South-Eastern Asia","Eastern and South-Eastern Asia","Non-UNFPA Country",0.393608706108706,0,0.196804353054353,0.3,0.3625,0.33125,0.147551434756124,0.147551434756124,0.225201929044957
"Slovakia",703,"SVK","Eastern Europe","Europe and Northern America","Non-UNFPA Country",0.467665912518854,1,0.733832956259427,0.399131677064735,0.663078127926376,0.531104902495556,0.360666666666667,0.360666666666667,0.541868174598682
"Viet Nam",704,"VNM","South-Eastern Asia","Eastern and South-Eastern Asia","Asia & the Pacific",0.518518518518519,1,0.759259259259259,0.17258883248731,0.365482233502538,0.269035532994924,0.120666666666667,0.120666666666667,0.382987152590629
"Slovenia",705,"SVN","Southern Europe","Europe and Northern America","Non-UNFPA Country",0.467665912518854,1,0.733832956259427,0.310679611650486,0.806122448979592,0.558401030315039,0.296,0.296,0.529411328328744
"Somalia",706,"SOM","Eastern Africa","Sub-Saharan Africa","Arab States",0.222222222222222,0,0.111111111111111,0.522447439313902,0.538775556075554,0.530611497694728,0.0635719691644407,0.0635719691644407,0.235098192421662
"South Africa",710,"ZAF","Southern Africa","Sub-Saharan Africa","East & Southern Africa",0.567652977211801,1,0.7838264886059,0.434691448827596,0.479638456547917,0.457164952687756,0.314,0.314,0.518330479912888
"Zimbabwe",716,"ZWE","Eastern Africa","Sub-Saharan Africa","East & Southern Africa",0.644444444444444,1,0.822222222222222,0.404494382022472,0.524344569288389,0.464419475655431,0.0635719691644407,0.0635719691644407,0.450071221897293
"Spain",724,"ESP","Southern Europe","Europe and Northern America","Non-UNFPA Country",0.467665912518854,0.828947368421053,0.648306640469953,0.0749750984589164,0.605028248960297,0.340001673709607,0.228666666666667,0.228666666666667,0.405658326543084
"South Sudan",728,"SSD","Eastern Africa","Sub-Saharan Africa","East & Southern Africa",0.425925925925926,0.744186046511628,0.585055986218777,0.522447439313902,0.538775556075554,0.530611497694728,0.0635719691644407,0.0635719691644407,0.393079817299569
"Sudan",729,"SDN","Northern Africa","Northern Africa and Western Asia","Arab States",0.443681715110286,0,0.221840857555143,0.133056512762734,0.568157040821949,0.350606776792341,0.0924493325750226,0.0924493325750226,0.22163232208587
"Western Sahara",732,"ESH","Northern Africa","Northern Africa and Western Asia","Non-UNFPA Country",0.443681715110286,0.4,0.421840857555143,0.133056512762734,0.568157040821949,0.350606776792341,0.0924493325750226,0.0924493325750226,0.28829898868587
"Suriname",740,"SUR","South America","Latin America and the Caribbean","Latin America & the Caribbean",0.516071120237787,1,0.758035560118893,0.2771903589872,0.665250680995738,0.471220519991469,0.653333333333333,0.653333333333333,0.627529803853702
"Eswatini",748,"SWZ","Southern Africa","Sub-Saharan Africa","East & Southern Africa",0.681481481481482,1,0.840740740740741,0.522447439313902,0.538775556075554,0.530611497694728,0.0635719691644407,0.0635719691644407,0.478308068721662
"Sweden",752,"SWE","Northern Europe","Europe and Northern America","Non-UNFPA Country",0.467665912518854,1,0.733832956259427,0.229194670437366,0.837696663428805,0.533445666933085,0.628,0.628,0.631759540432411
"Switzerland",756,"CHE","Western Europe","Europe and Northern America","Non-UNFPA Country",0.467665912518854,1,0.733832956259427,0.399131677064735,0.663078127926376,0.531104902495556,0.266666666666667,0.266666666666667,0.510534841296682
"Syrian Arab Republic",760,"SYR","Western Asia","Northern Africa and Western Asia","Arab States",0.443681715110286,0.4,0.421840857555143,0.133056512762734,0.568157040821949,0.350606776792341,0.0924493325750226,0.0924493325750226,0.28829898868587
"Tajikistan",762,"TJK","Central Asia","Central and Southern Asia","Eastern Europe & Central Asia",0.865079365079365,1,0.932539682539683,0.693693693693694,0.711711711711712,0.702702702702703,0.0688860267919865,0.0688860267919865,0.568042803443415
"Thailand",764,"THA","South-Eastern Asia","Eastern and South-Eastern Asia","Asia & the Pacific",0.393608706108706,1,0.696804353054353,0.62135922330097,0.70873786407767,0.66504854368932,0.16,0.16,0.507284298407273
"Togo",768,"TGO","Western Africa","Sub-Saharan Africa","West & Central Africa",0.828282828282828,1,0.914141414141414,0.522447439313902,0.538775556075554,0.530611497694728,0.0635719691644407,0.0635719691644407,0.502774959830753
"Tonga",776,"TON","Polynesia","Oceania (excluding Australia and New Zealand)","Asia & the Pacific",0.397435897435897,1,0.698717948717949,0.274537333096086,0.322902953872844,0.298720143484465,0,0,0.332479363734992
"Trinidad and Tobago",780,"TTO","Caribbean","Latin America and the Caribbean","Latin America & the Caribbean",0.516071120237787,1,0.758035560118893,0.391304347826086,0.708029197080292,0.549666772453189,0,0,0.435900777088127
"United Arab Emirates",784,"ARE","Western Asia","Northern Africa and Western Asia","Arab States",0.443681715110286,0,0.221840857555143,0.133056512762734,0.568157040821949,0.350606776792341,0.166666666666667,0.166666666666667,0.246371433425012
"Tunisia",788,"TUN","Northern Africa","Northern Africa and Western Asia","Arab States",0.443681715110286,0,0.221840857555143,0.151724137931034,0.36551724137931,0.258620689655172,0.460666666666667,0.460666666666667,0.313709404311951
"Turkey",792,"TUR","Western Asia","Northern Africa and Western Asia","Eastern Europe & Central Asia",0.443681715110286,1,0.721840857555143,0.059620596205962,0.888888888888889,0.474254742547426,0.0886666666666667,0.0886666666666667,0.428254088494824
"Turkmenistan",795,"TKM","Central Asia","Central and Southern Asia","Eastern Europe & Central Asia",0.555555555555556,1,0.777777777777778,0.433848820790293,0.808104377263699,0.620976599026996,0.106666666666667,0.106666666666667,0.501807013988673
"Uganda",800,"UGA","Eastern Africa","Sub-Saharan Africa","East & Southern Africa",0.632478632478632,1,0.816239316239316,0.522447439313902,0.538775556075554,0.530611497694728,0.0635719691644407,0.0635719691644407,0.470140927229354
"Ukraine",804,"UKR","Eastern Europe","Europe and Northern America","Eastern Europe & Central Asia",0.513888888888889,1,0.756944444444444,0.185176662790173,0.685941736653692,0.435559199721932,0.472666666666667,0.472666666666667,0.555056769722624
"North Macedonia",807,"MKD","Southern Europe","Europe and Northern America","Eastern Europe & Central Asia",0.467665912518854,1,0.733832956259427,0.399131677064735,0.663078127926376,0.531104902495556,0.179283684441519,0.179283684441519,0.481407180584093
"Egypt",818,"EGY","Northern Africa","Northern Africa and Western Asia","Arab States",0.4,0.4,0.4,0.0756756756756756,0.459459459459459,0.267567567567567,0.0673333333333333,0.0673333333333333,0.244966966722
"United Kingdom",826,"GBR","Northern Europe","Europe and Northern America","Non-UNFPA Country",0.467665912518854,1,0.733832956259427,0.399131677064735,0.663078127926376,0.531104902495556,0.246,0.246,0.503645952414682
"Channel Islands",830,"CHI","Northern Europe","Europe and Northern America","Non-UNFPA Country",0.467665912518854,0.828947368421053,0.648306640469953,0.399131677064735,0.663078127926376,0.531104902495556,0.179283684441519,0.179283684441519,0.452898408682777
"United Republic of Tanzania",834,"TZA","Eastern Africa","Sub-Saharan Africa","East & Southern Africa",0.755555555555556,1,0.877777777777778,0.522447439313902,0.538775556075554,0.530611497694728,0.0635719691644407,0.0635719691644407,0.490653747721662
"United States of America",840,"USA","Northern America","Europe and Northern America","Non-UNFPA Country",0.467665912518854,0.5,0.483832956259427,0.59863778171567,0.621475129311294,0.610056455513482,0.0306666666666667,0.0306666666666667,0.374852025771673
"United States Virgin Islands",850,"VIR","Caribbean","Latin America and the Caribbean","Non-UNFPA Country",0.516071120237787,0.87037037037037,0.693220745304079,0.2771903589872,0.665250680995738,0.471220519991469,0.354145485330044,0.354145485330044,0.506195583035668
"Burkina Faso",854,"BFA","Western Africa","Sub-Saharan Africa","West & Central Africa",0.601851851851852,1,0.800925925925926,0.522447439313902,0.538775556075554,0.530611497694728,0.0635719691644407,0.0635719691644407,0.465036463796662
"Uruguay",858,"URY","South America","Latin America and the Caribbean","Latin America & the Caribbean",0.516071120237787,1,0.758035560118893,0.111111111111111,0.666666666666667,0.388888888888889,0.0673333333333333,0.0673333333333333,0.404752593708953
"Uzbekistan",860,"UZB","Central Asia","Central and Southern Asia","Eastern Europe & Central Asia",0.518518518518519,1,0.759259259259259,0.023076923076923,0.646586345381526,0.334831634229225,0.0688860267919865,0.0688860267919865,0.387658973039164
"Venezuela (Bolivarian Republic of)",862,"VEN","South America","Latin America and the Caribbean","Latin America & the Caribbean",0.516071120237787,1,0.758035560118893,0.2771903589872,0.665250680995738,0.471220519991469,0.654666666666667,0.654666666666667,0.627974248297702
"Samoa",882,"WSM","Polynesia","Oceania (excluding Australia and New Zealand)","Non-UNFPA Country",0.397435897435897,1,0.698717948717949,0.274537333096086,0.322902953872844,0.298720143484465,0,0,0.332479363734992
"Yemen",887,"YEM","Western Asia","Northern Africa and Western Asia","Arab States",0.443681715110286,1,0.721840857555143,0.15,0.527777777777778,0.338888888888889,0,0,0.353576581794434
"Zambia",894,"ZMB","Eastern Africa","Sub-Saharan Africa","East & Southern Africa",0.462962962962963,1,0.731481481481482,0.522447439313902,0.538775556075554,0.530611497694728,0.0813333333333333,0.0813333333333333,0.447808770388705
"Polynesia",957,"","Polynesia","Oceania (excluding Australia and New Zealand)","Non-UNFPA Country",0.397435897435897,1,0.698717948717949,0.274537333096086,0.322902953872844,0.298720143484465,0,0,0.332479363734992
"American Samoa",16,"ASM","Polynesia","Oceania (excluding Australia and New Zealand)","Asia & the Pacific",,,,,,,,,
"Andorra",20,"AND","Southern Europe","Europe and Northern America","Non-UNFPA Country",,,,,,,,,
"Bermuda",60,"BMU","Northern America","Europe and Northern America","Latin America & the Caribbean",,,,,,,,,
"British Virgin Islands",92,"VGB","Caribbean","Latin America and the Caribbean","Latin America & the Caribbean",,,,,,,,,
"Cayman Islands",136,"CYM","Caribbean","Latin America and the Caribbean","Latin America & the Caribbean",,,,,,,,,
"Cook Islands",184,"COK","Polynesia","Oceania (excluding Australia and New Zealand)","Asia & the Pacific",,,,,,,,,
"Dominica",212,"DMA","Caribbean","Latin America and the Caribbean","Latin America & the Caribbean",,,,,,,,,
"Faroe Islands",234,"FRO","Northern Europe","Europe and Northern America","Non-UNFPA Country",,,,,,,,,
"Falkland Islands (Malvinas)",238,"FLK","South America","Latin America and the Caribbean","Non-UNFPA Country",,,,,,,,,
"Gibraltar",292,"GIB","Southern Europe","Europe and Northern America","Non-UNFPA Country",,,,,,,,,
"Greenland",304,"GRL","Northern America","Europe and Northern America","Non-UNFPA Country",,,,,,,,,
"Holy See",336,"VAT","Southern Europe","Europe and Northern America","Non-UNFPA Country",,,,,,,,,
"Liechtenstein",438,"LIE","Western Europe","Europe and Northern America","Non-UNFPA Country",,,,,,,,,
"Monaco",492,"MCO","Western Europe","Europe and Northern America","Non-UNFPA Country",,,,,,,,,
"Montserrat",500,"MSR","Caribbean","Latin America and the Caribbean","Latin America & the Caribbean",,,,,,,,,
"Nauru",520,"NRU","Micronesia","Oceania (excluding Australia and New Zealand)","Asia & the Pacific",,,,,,,,,
"Netherland Antilles",530,"","Caribbean","Latin America and the Caribbean","Latin America & the Caribbean",,,,,,,,,
"Sint Maarten (Dutch part)",534,"SXM","Caribbean","Latin America and the Caribbean","Non-UNFPA Country",,,,,,,,,
"Bonaire, Sint Eustatius and Saba",535,"BES","Caribbean","Latin America and the Caribbean","Non-UNFPA Country",,,,,,,,,
"Niue",570,"NIU","Polynesia","Oceania (excluding Australia and New Zealand)","Asia & the Pacific",,,,,,,,,
"Northern Mariana Islands",580,"MNP","Micronesia","Oceania (excluding Australia and New Zealand)","Non-UNFPA Country",,,,,,,,,
"Marshall Islands",584,"MHL","Micronesia","Oceania (excluding Australia and New Zealand)","Asia & the Pacific",,,,,,,,,
"Palau",585,"PLW","Micronesia","Oceania (excluding Australia and New Zealand)","Asia & the Pacific",,,,,,,,,
"Saint Barthélemy",652,"BLM","Caribbean","Latin America and the Caribbean","Non-UNFPA Country",,,,,,,,,
"Saint Helena",654,"SHN","Western Africa","Sub-Saharan Africa","Non-UNFPA Country",,,,,,,,,
"Saint Kitts and Nevis",659,"KNA","Caribbean","Latin America and the Caribbean","Latin America & the Caribbean",,,,,,,,,
"Anguilla",660,"AIA","Caribbean","Latin America and the Caribbean","Latin America & the Caribbean",,,,,,,,,
"Saint Martin (French part)",663,"MAF","Caribbean","Latin America and the Caribbean","Non-UNFPA Country",,,,,,,,,
"Saint Pierre and Miquelon",666,"SPM","Northern America","Europe and Northern America","Non-UNFPA Country",,,,,,,,,
"San Marino",674,"SMR","Southern Europe","Europe and Northern America","Non-UNFPA Country",,,,,,,,,
"Tokelau",772,"TKL","Polynesia","Oceania (excluding Australia and New Zealand)","Asia & the Pacific",,,,,,,,,
"Turks and Caicos Islands",796,"TCA","Caribbean","Latin America and the Caribbean","Latin America & the Caribbean",,,,,,,,,
"Tuvalu",798,"TUV","Polynesia","Oceania (excluding Australia and New Zealand)","Asia & the Pacific",,,,,,,,,
"Isle of Man",833,"IMN","Northern Europe","Europe and Northern America","Non-UNFPA Country",,,,,,,,,
"Wallis and Futuna Islands",876,"WLF","Polynesia","Oceania (excluding Australia and New Zealand)","Non-UNFPA Country",,,,,,,,,
