"Country","ISONum","ISOAlph","Subregion","SDG","UNFPAGroup","Gender_and_Autonomy_Resource_UpperSec_Ratio","Gender_Resource","Gender_and_Autonomy_Agency_Res_Civil","Gender_Agency","Gender_and_Autonomy_Achievement_SP_DYN_MRBF18","Gender_and_Autonomy_Achievement_violence_w_1524","Gender_Achievement","Gender"
"Canada",124,"CAN","Northern America","Europe and Northern America","Non-UNFPA Country",1,1,0.765,0.765,0.95218207046332,0.804236142406489,0.878209106434905,0.881069701263899
"Cabo Verde",132,"CPV","Western Africa","Sub-Saharan Africa","West & Central Africa",0.871869495219688,0.871869495219688,0.635666666666667,0.635666666666667,0.775,0.485504742933792,0.630252371466896,0.712596177071821
"Central African Republic",140,"CAF","Middle Africa","Sub-Saharan Africa","West & Central Africa",0.853905432897637,0.853905432897637,0.458,0.458,0.2375,0.485504742933792,0.361502371466896,0.557802600897042
"Sri Lanka",144,"LKA","Southern Asia","Central and Southern Asia","Asia & the Pacific",1,1,0.714,0.714,0.8775,0.628483070233409,0.752991535116705,0.822330510883238
"Chad",148,"TCD","Middle Africa","Sub-Saharan Africa","West & Central Africa",0.523712005130663,0.523712005130663,0.728,0.728,0.2425,0.593846153846154,0.418173076923077,0.556628360127951
"Chile",152,"CHL","South America","Latin America and the Caribbean","Latin America & the Caribbean",1,1,0.834,0.834,0.700197802197802,0.638999863137794,0.669598832667798,0.834532943388066
"China",156,"CHN","Eastern Asia","Eastern and South-Eastern Asia","Asia & the Pacific",1,1,0.656833333333333,0.656833333333333,0.806185493336362,0.751494253944445,0.778839873640404,0.811891068179355
"China, Taiwan Province of China",158,"TWN","Eastern Asia","Eastern and South-Eastern Asia","Non-UNFPA Country",1,1,0.841,0.841,0.806185493336362,0.751494253944445,0.778839873640404,0.873279957006855
"Colombia",170,"COL","South America","Latin America and the Caribbean","Latin America & the Caribbean",1,1,0.794,0.794,0.7075,0.609230769230769,0.658365384615385,0.817455127387673
"Comoros",174,"COM","Eastern Africa","Sub-Saharan Africa","East & Southern Africa",1,1,0.635666666666667,0.635666666666667,0.605,0.76,0.6825,0.7727222214495
"Mayotte",175,"MYT","Eastern Africa","Sub-Saharan Africa","Non-UNFPA Country",0.871869495219688,0.871869495219688,0.635666666666667,0.635666666666667,0.558394730483459,0.485504742933792,0.521949736708625,0.676495298855164
"Congo",178,"COG","Middle Africa","Sub-Saharan Africa","West & Central Africa",0.874200339514516,0.874200339514516,0.417,0.417,0.65875,0.485504742933792,0.572127371466896,0.621109236372695
"Democratic Republic of the Congo",180,"COD","Middle Africa","Sub-Saharan Africa","East & Southern Africa",0.877257052670993,0.877257052670993,0.793,0.793,0.63625,0.238461538461538,0.437355769230769,0.70253760659805
"Costa Rica",188,"CRI","Central America","Latin America and the Caribbean","Latin America & the Caribbean",1,1,0.895,0.895,0.735,0.638999863137794,0.686999931568897,0.860666642995632
"Croatia",191,"HRV","Southern Europe","Europe and Northern America","Non-UNFPA Country",0.993435715812292,0.993435715812292,0.821,0.821,0.95218207046332,0.804236142406489,0.878209106434905,0.897548273184851
"Cuba",192,"CUB","Caribbean","Latin America and the Caribbean","Latin America & the Caribbean",1,1,0.798380952380952,0.798380952380952,0.6325,0.638999863137794,0.635749931568897,0.81137696050524
"Cyprus",196,"CYP","Western Asia","Northern Africa and Western Asia","Non-UNFPA Country",1,1,0.633,0.633,0.770726686240707,0.461322921661301,0.616024803951004,0.74967493390066
"Czechia",203,"CZE","Eastern Europe","Europe and Northern America","Non-UNFPA Country",0.999909210586046,0.999909210586046,0.737,0.737,0.95218207046332,0.804236142406489,0.878209106434905,0.871706104801944
"Benin",204,"BEN","Western Africa","Sub-Saharan Africa","West & Central Africa",0.644777519652156,0.644777519652156,0.467,0.467,0.6175,0.584615384615385,0.601057692307692,0.570945070082338
"Denmark",208,"DNK","Northern Europe","Europe and Northern America","Non-UNFPA Country",1,1,0.89,0.89,0.95218207046332,0.804236142406489,0.878209106434905,0.922736367888899
