"Country","ISONum","ISOAlph","Subregion","SDG","UNFPAGroup","Safety_and_Security_Resource_INFORM","Safety_Resource","Safety_and_Security_Agency_humanrights","Safety_and_Security_Agency_pol_part","Safety_Agency","Safety_and_Security_Achievement_Displacement","Safety_and_Security_Achievement_InterViolence","Safety_and_Security_Achievement_SelfHarm","Safety_Achievement","Safety"
"Kazakhstan",398,"KAZ","Central Asia","Central and Southern Asia","Eastern Europe & Central Asia",0.82,0.82,0.846153846153846,0.118518518518519,0.482336182336183,0.999953956848856,0.921297528328736,0.688384050364573,0.86987851097751,0.724071563713826
"Jordan",400,"JOR","Western Asia","Northern Africa and Western Asia","Arab States",0.55,0.55,0.655405405405405,0.161290322580645,0.408347863993025,0.999709133659936,0.943126062172959,0.96785274197926,0.970229311633822,0.642859057899423
"Kenya",404,"KEN","Eastern Africa","Sub-Saharan Africa","East & Southern Africa",0.41,0.41,0.540528334391958,0.217637547312259,0.379082940852109,0.999793410201737,0.872817607550261,0.936020045476207,0.936210353473192,0.575097764200002
"Dem. People's Republic of Korea",408,"PRK","Eastern Asia","Eastern and South-Eastern Asia","Asia & the Pacific",0.47,0.47,0.881394958152483,0.166046415324419,0.523720686738451,1,0.953192673804358,0.867133598098624,0.940108756360886,0.644609813721836
"Republic of Korea",410,"KOR","Eastern Asia","Eastern and South-Eastern Asia","Non-UNFPA Country",0.8,0.8,0.85,0.208333333333333,0.529166666666666,1,0.990386295270748,0.831071806856228,0.940486033101839,0.756550899166284
"Kuwait",414,"KWT","Western Asia","Northern Africa and Western Asia","Arab States",0.81,0.81,0.781065088757396,0.163664346248988,0.472364717503192,0.999170453163349,0.985944202034156,0.95632136066086,0.98047867097231,0.754281128737553
"Kyrgyzstan",417,"KGZ","Central Asia","Central and Southern Asia","Eastern Europe & Central Asia",0.64,0.64,0.739677415054914,0.144363719524834,0.442020567289874,0.999829219065362,0.961326078772597,0.846316578652613,0.935823957894367,0.672614841055466
"Lao People's Democratic Republic",418,"LAO","South-Eastern Asia","Eastern and South-Eastern Asia","Asia & the Pacific",0.57,0.57,0.881394958152483,0.166046415324419,0.523720686738451,1,0.875646928940912,0.867521349579929,0.914389425259224,0.669370036663188
"Lebanon",422,"LBN","Western Asia","Northern Africa and Western Asia","Arab States",0.49,0.49,0.390243902439024,0.131707317073171,0.260975609756098,0.997744165282024,0.909953114926809,0.928771041032069,0.945489439468145,0.565488349175926
"Lesotho",426,"LSO","Southern Africa","Sub-Saharan Africa","East & Southern Africa",0.59,0.59,0.540528334391958,0.217637547312259,0.379082940852109,1,0.329536653518822,0.609545584232762,0.646360745270834,0.538481228169166
"Latvia",428,"LVA","Northern Europe","Europe and Northern America","Non-UNFPA Country",0.86,0.86,0.608079956143569,0.444369177422319,0.526224566782944,1,0.958687262836867,0.84132290403527,0.933336721357376,0.773187095273586
"Liberia",430,"LBR","Western Africa","Sub-Saharan Africa","West & Central Africa",0.48,0.48,0.540528334391958,0.217637547312259,0.379082940852109,0.998838659909608,0.950801891130283,0.936347054255468,0.96199586746979,0.607026268833607
"Libya",434,"LBY","Northern Africa","Northern Africa and Western Asia","Arab States",0.35,0.35,0.412647183036703,0.39152100381162,0.402084093424162,0.998717242098705,0.968649365024335,0.91938118450849,0.962249262914927,0.571444451541585
"Lithuania",440,"LTU","Northern Europe","Europe and Northern America","Non-UNFPA Country",0.87,0.87,0.608079956143569,0.444369177422319,0.526224566782944,1,0.961526851703776,0.724974498364456,0.895500449127244,0.763908337872821
"Luxembourg",442,"LUX","Western Europe","Europe and Northern America","Non-UNFPA Country",0.91,0.91,0.608079956143569,0.444369177422319,0.526224566782944,1,0.98451055309014,0.896682727256886,0.960397759155278,0.7988741078472
"China, Macao SAR",446,"MAC","Eastern Asia","Eastern and South-Eastern Asia","Non-UNFPA Country",0.6275,0.6275,0.840425531914894,0.175531914893617,0.507978723404256,1,0.970938774687296,0.919510794485095,0.963483188760647,0.69965397002198
"Madagascar",450,"MDG","Eastern Africa","Sub-Saharan Africa","East & Southern Africa",0.48,0.48,0.540528334391958,0.217637547312259,0.379082940852109,1,0.956910743829656,0.924453170873046,0.960454637273779,0.60651252543545
"Malawi",454,"MWI","Eastern Africa","Sub-Saharan Africa","East & Southern Africa",0.52,0.52,0.540528334391958,0.217637547312259,0.379082940852109,0.999969188775471,0.962690936018069,0.913954861667463,0.958871661194796,0.619318200062983
"Malaysia",458,"MYS","South-Eastern Asia","Eastern and South-Eastern Asia","Asia & the Pacific",0.69,0.69,0.668367346938776,0.316326530612245,0.492346938775511,0.999996719407656,0.968522799932998,0.934070548301099,0.967530021579721,0.716625652735118
"Maldives",462,"MDV","Southern Asia","Central and Southern Asia","Asia & the Pacific",0.77,0.77,0.706488655940247,0.301409689467436,0.503949172703842,0.999701501447718,0.96764759646087,0.947702225398514,0.971683773464017,0.748544314640742
"Mali",466,"MLI","Western Africa","Sub-Saharan Africa","West & Central Africa",0.3,0.3,0.540528334391958,0.217637547312259,0.379082940852109,0.98304171631631,0.822790098209104,0.939613932143808,0.915148581307926,0.531410506855268
"Malta",470,"MLT","Southern Europe","Europe and Northern America","Non-UNFPA Country",0.81,0.81,0.608079956143569,0.444369177422319,0.526224566782944,1,0.981777599026717,0.936165641326803,0.972647745811859,0.769624103428643
"Martinique",474,"MTQ","Caribbean","Latin America and the Caribbean","Non-UNFPA Country",0.626129032258065,0.626129032258065,0.415123279914856,0.333297885554918,0.374210582734887,1,0.479864812225508,0.865274639939035,0.781713149939801,0.5940175877169
"Mauritania",478,"MRT","Western Africa","Sub-Saharan Africa","West & Central Africa",0.44,0.44,0.540528334391958,0.217637547312259,0.379082940852109,0.974853477938284,0.929611612954283,0.961444084250848,0.955303057425835,0.591461998834519
"Mauritius",480,"MUS","Eastern Africa","Sub-Saharan Africa","Non-UNFPA Country",0.8,0.8,0.540528334391958,0.217637547312259,0.379082940852109,0.999905915116618,0.971703574441424,0.806738207121707,0.926115897967134,0.701732945571348
"Mexico",484,"MEX","Central America","Latin America and the Caribbean","Latin America & the Caribbean",0.51,0.51,0.40997791671507,0.202039872615857,0.306008894665463,0.999924309862015,0.598012882031985,0.854849915173468,0.817595701538227,0.544534864856695
"Mongolia",496,"MNG","Eastern Asia","Eastern and South-Eastern Asia","Asia & the Pacific",0.72,0.72,0.881394958152483,0.166046415324419,0.523720686738451,0.999637879201968,0.918876987676153,0.648440232955496,0.855651699088887,0.699790794575989
"Republic of Moldova",498,"MDA","Eastern Europe","Europe and Northern America","Eastern Europe & Central Asia",0.71,0.71,0.608079956143569,0.444369177422319,0.526224566782944,0.99885737276202,0.960479058565473,0.867757482214983,0.942364636905127,0.726196400503161
"Montenegro",499,"MNE","Southern Europe","Europe and Northern America","Non-UNFPA Country",0.77,0.77,0.608079956143569,0.444369177422319,0.526224566782944,0.997964592388424,0.964235540634339,0.859315657738861,0.940505262646703,0.745576609064306
"Morocco",504,"MAR","Northern Africa","Northern Africa and Western Asia","Arab States",0.6,0.6,0.447513812154696,0.217877094972067,0.332695453563381,0.999937908335119,0.981289605905078,0.897564058336778,0.959597189899394,0.630764213856828
"Mozambique",508,"MOZ","Eastern Africa","Sub-Saharan Africa","East & Southern Africa",0.27,0.27,0.540528334391958,0.217637547312259,0.379082940852109,0.999866506386794,0.879734113878182,0.897744417777965,0.925781678421865,0.52495487256637
"Oman",512,"OMN","Western Asia","Northern Africa and Western Asia","Arab States",0.75,0.75,0.45117503717855,0.163664346248988,0.307419691713769,0.999967629788364,0.990288494586641,0.93826160953012,0.976172576992202,0.677864088890793
"Namibia",516,"NAM","Southern Africa","Sub-Saharan Africa","East & Southern Africa",0.61,0.61,0.540528334391958,0.217637547312259,0.379082940852109,1,0.689228558623462,0.850098395072908,0.846442317052348,0.611841752022977
"Nepal",524,"NPL","Southern Asia","Central and Southern Asia","Asia & the Pacific",0.5,0.5,0.706488655940247,0.301409689467436,0.503949172703842,0.999992928179681,0.966355828933582,0.774778520649458,0.913709091673864,0.639219420820016
"Netherlands",528,"NLD","Western Europe","Europe and Northern America","Non-UNFPA Country",0.86,0.86,0.715596330275229,0.381818181818182,0.548707256046705,1,0.988765842215739,0.906313234688876,0.965026358003179,0.791244537225384
"Curaçao",531,"CUW","Caribbean","Latin America and the Caribbean","Non-UNFPA Country",0.626129032258065,0.626129032258065,0.415123279914856,0.333297885554918,0.374210582734887,1,0.479864812225508,0.865274639939035,0.781713149939801,0.5940175877169
"Aruba",533,"ABW","Caribbean","Latin America and the Caribbean","Latin America & the Caribbean",0.626129032258065,0.626129032258065,0.415123279914856,0.333297885554918,0.374210582734887,0.94946364518161,0.479864812225508,0.865274639939035,0.764867698350517,0.588402437192754
"New Caledonia",540,"NCL","Melanesia","Oceania (excluding Australia and New Zealand)","Non-UNFPA Country",0.6,0.6,0.881394958152483,0.166046415324419,0.523720686738451,1,0.863302746214346,0.871756610655037,0.911686451378108,0.678469045360384
"Vanuatu",548,"VUT","Melanesia","Oceania (excluding Australia and New Zealand)","Asia & the Pacific",0.56,0.56,0.881394958152483,0.166046415324419,0.523720686738451,1,0.982154734931238,0.5600963556981,0.847417029362362,0.643712571389892
"New Zealand",554,"NZL","Australia/New Zealand","Australia/New Zealand","Non-UNFPA Country",0.84,0.84,0.774193548387097,0.714285714285714,0.744239631336405,1,0.978433278411687,0.746575702464298,0.908336326050325,0.830858651631385
"Nicaragua",558,"NIC","Central America","Latin America and the Caribbean","Latin America & the Caribbean",0.51,0.51,0.431884057971014,0.136231884057971,0.284057971014492,0.999575016911906,0.885486635932265,0.845698869825886,0.910253506646432,0.568103825318871
"Niger",562,"NER","Western Africa","Sub-Saharan Africa","West & Central Africa",0.25,0.25,0.540528334391958,0.217637547312259,0.379082940852109,0.988029554585707,0.86162604863662,0.939373239248415,0.929676279893904,0.519586406395751
"Nigeria",566,"NGA","Western Africa","Sub-Saharan Africa","West & Central Africa",0.35,0.35,0.443478260869565,0.242857142857143,0.343167701863354,0.997018037799109,0.912246593959634,0.961063113716527,0.956775914201648,0.549981204805019
"Norway",578,"NOR","Northern Europe","Europe and Northern America","Non-UNFPA Country",0.89,0.89,0.608079956143569,0.444369177422319,0.526224566782944,1,0.991207425791548,0.855221327773107,0.948809583572742,0.788344715996884
"Micronesia (Fed. States of)",583,"FSM","Micronesia","Oceania (excluding Australia and New Zealand)","Asia & the Pacific",0.63,0.63,0.881394958152483,0.166046415324419,0.523720686738451,1,0.873725105697764,0.452181249184824,0.775302117518894,0.643007600776107
"Pakistan",586,"PAK","Southern Asia","Central and Southern Asia","Asia & the Pacific",0.39,0.39,0.655737704918033,0.177777777777778,0.416757741347905,0.998267988331742,0.899703194417145,0.80656428510098,0.90151182171511,0.569423187118249
"Panama",591,"PAN","Central America","Latin America and the Caribbean","Latin America & the Caribbean",0.61,0.61,0.415123279914856,0.333297885554918,0.374210582734887,1,0.644998978651171,0.902475308797688,0.849158094967128,0.611122891956215
"Papua New Guinea",598,"PNG","Melanesia","Oceania (excluding Australia and New Zealand)","Asia & the Pacific",0.41,0.41,0.881394958152483,0.166046415324419,0.523720686738451,1,0.844594489853902,0.942368415438238,0.928987634168392,0.620902773014712
"Paraguay",600,"PRY","South America","Latin America and the Caribbean","Latin America & the Caribbean",0.69,0.69,0.415123279914856,0.333297885554918,0.374210582734887,0.999987488645946,0.8017462466122,0.842196676775878,0.881310136463365,0.64850690575091
"Peru",604,"PER","South America","Latin America and the Caribbean","Latin America & the Caribbean",0.51,0.51,0.184516661749181,0.181389059497835,0.182952860623508,0.999975311040286,0.935536631602791,0.93552220202216,0.957011380598068,0.549988079857204
"Philippines",608,"PHL","South-Eastern Asia","Eastern and South-Eastern Asia","Asia & the Pacific",0.44,0.44,0.91538610507038,0.17653282081259,0.545959462941485,0.999997497901365,0.845485505286994,0.921569760243574,0.922350920221627,0.636103460418267
"Poland",616,"POL","Eastern Europe","Europe and Northern America","Non-UNFPA Country",0.83,0.83,0.751736649094012,0.492905161946546,0.622320905520279,0.999990080742754,0.987959923254052,0.817487602181843,0.93514586779107,0.795822256974628
"Portugal",620,"PRT","Southern Europe","Europe and Northern America","Non-UNFPA Country",0.84,0.84,0.608079956143569,0.444369177422319,0.526224566782944,1,0.982149276322536,0.933749171188364,0.971966148198334,0.779396904214362
"Guinea-Bissau",624,"GNB","Western Africa","Sub-Saharan Africa","West & Central Africa",0.54,0.54,0.540528334391958,0.217637547312259,0.379082940852109,0.99990348135334,0.852503309815619,0.896417644159564,0.9162748108599,0.61178591662555
"Timor-Leste",626,"TLS","South-Eastern Asia","Eastern and South-Eastern Asia","Asia & the Pacific",0.59,0.59,0.881394958152483,0.166046415324419,0.523720686738451,1,0.939792518570376,0.893174352997856,0.944322289578422,0.686014324752943
"Puerto Rico",630,"PRI","Caribbean","Latin America and the Caribbean","Non-UNFPA Country",0.626129032258065,0.626129032258065,0.435483870967742,0.352,0.393741935483871,0.94946364518161,0.488687438094473,0.938517210531897,0.792222763810437,0.60403124324676
"Qatar",634,"QAT","Western Asia","Northern Africa and Western Asia","Arab States",0.87,0.87,0.98025261960508,0.163664346248988,0.571958482927034,1,0.982947176685808,0.914861932826092,0.965936368871364,0.802631616463501
"Réunion",638,"REU","Eastern Africa","Sub-Saharan Africa","Non-UNFPA Country",0.47875,0.47875,0.540528334391958,0.217637547312259,0.379082940852109,0.980355339587022,0.884341049986096,0.924334971286999,0.929677119357028,0.595836686140542
"Romania",642,"ROU","Eastern Europe","Europe and Northern America","Non-UNFPA Country",0.76,0.76,0.376073415211914,0.213631840895347,0.29485262805363,0.999902792562516,0.986042063548498,0.903412034403179,0.963118962541612,0.672657196192424
"Russian Federation",643,"RUS","Eastern Europe","Europe and Northern America","Non-UNFPA Country",0.63,0.63,0.737463059087853,0.24003613910448,0.488749599096166,0.999264764087508,0.888142666968798,0.696240672584911,0.861216033685856,0.659988543600686
"Rwanda",646,"RWA","Eastern Africa","Sub-Saharan Africa","East & Southern Africa",0.54,0.54,0.956666666666667,0.0633333333333333,0.51,0.988620220298077,0.929622944331465,0.924942176090752,0.947728445959036,0.665909481320436
"Saint Lucia",662,"LCA","Caribbean","Latin America and the Caribbean","Latin America & the Caribbean",0.77,0.77,0.415123279914856,0.333297885554918,0.374210582734887,1,0.680442366866285,0.925687960945469,0.868710108401875,0.67097356304128
"Saint Vincent and the Grenadines",670,"VCT","Caribbean","Latin America and the Caribbean","Latin America & the Caribbean",0.77,0.77,0.415123279914856,0.333297885554918,0.374210582734887,1,0.658768610017064,0.934630317115425,0.864466308179696,0.669558962968635
"Sao Tome and Principe",678,"STP","Middle Africa","Sub-Saharan Africa","West & Central Africa",0.75,0.75,0.540528334391958,0.217637547312259,0.379082940852109,1,0.90066913495755,0.969107370809871,0.956592167632548,0.695225035466327
"Saudi Arabia",682,"SAU","Western Asia","Northern Africa and Western Asia","Arab States",0.74,0.74,0.45117503717855,0.163664346248988,0.307419691713769,0.999961861994507,0.984547901612557,0.945318629240218,0.976609463305818,0.674676384331853
"Senegal",686,"SEN","Western Africa","Sub-Saharan Africa","West & Central Africa",0.54,0.54,0.540528334391958,0.217637547312259,0.379082940852109,0.998972849744878,0.976048441691663,0.921163652964658,0.965394980501671,0.628159306489767
"Serbia",688,"SRB","Southern Europe","Europe and Northern America","Eastern Europe & Central Asia",0.68,0.68,0.545454545454545,0.254385964912281,0.399920255183413,0.989591516754675,0.97801016093907,0.922718716569163,0.963440130457529,0.681120127865861
"Seychelles",690,"SYC","Eastern Africa","Sub-Saharan Africa","East & Southern Africa",0.83,0.83,0.540528334391958,0.217637547312259,0.379082940852109,1,0.930138587662808,0.891275007624867,0.940471197488754,0.716518045397103
"Sierra Leone",694,"SLE","Western Africa","Sub-Saharan Africa","West & Central Africa",0.47,0.47,0.540528334391958,0.217637547312259,0.379082940852109,0.998820726400521,0.968324254183134,0.926849659964433,0.964664879218031,0.604582606085464
