"Country","ISONum","ISOAlph","Subregion","SDG","UNFPAGroup","Safety_and_Security_Resource_INFORM","Safety_Resource","Safety_and_Security_Agency_humanrights","Safety_and_Security_Agency_pol_part","Safety_Agency","Safety_and_Security_Achievement_Displacement","Safety_and_Security_Achievement_InterViolence","Safety_and_Security_Achievement_SelfHarm","Safety_Achievement","Safety"
"China, Taiwan Province of China",158,"TWN","Eastern Asia","Eastern and South-Eastern Asia","Non-UNFPA Country",0.6275,0.6275,0.914482980517278,0.236235343695214,0.575359162106246,0.997883664460889,0.982877886498192,0.876614715010523,0.952458754370743,0.71843930477389
"Colombia",170,"COL","South America","Latin America and the Caribbean","Latin America & the Caribbean",0.46,0.46,0.383561643835616,0.43013698630137,0.406849315068493,0.492189971264184,0.23172529150854,0.859173002264402,0.527696087818012,0.464848467163987
"Comoros",174,"COM","Eastern Africa","Sub-Saharan Africa","East & Southern Africa",0.62,0.62,0.540528334391958,0.217637547312259,0.379082940852109,0.999825400705381,0.874419595939775,0.943095567249233,0.939113520359016,0.646065486424309
"Mayotte",175,"MYT","Eastern Africa","Sub-Saharan Africa","Non-UNFPA Country",0.47875,0.47875,0.540528334391958,0.217637547312259,0.379082940852109,0.980355339587022,0.884341049986096,0.924334971286999,0.929677119357028,0.595836686140542
"Congo",178,"COG","Middle Africa","Sub-Saharan Africa","West & Central Africa",0.48,0.48,0.540528334391958,0.217637547312259,0.379082940852109,0.996778057965835,0.92275805801638,0.929343048831788,0.949626387321708,0.602903108788369
"Democratic Republic of the Congo",180,"COD","Middle Africa","Sub-Saharan Africa","East & Southern Africa",0.23,0.23,0.540528334391958,0.217637547312259,0.379082940852109,0.978211892758029,0.935439708473921,0.924215875616503,0.945955824670195,0.518346254655755
"Costa Rica",188,"CRI","Central America","Latin America and the Caribbean","Latin America & the Caribbean",0.68,0.68,0.415123279914856,0.333297885554918,0.374210582734887,0.999929888850458,0.799792945037793,0.852024092395331,0.883915641210611,0.646042074002457
"Croatia",191,"HRV","Southern Europe","Europe and Northern America","Non-UNFPA Country",0.76,0.76,0.608079956143569,0.444369177422319,0.526224566782944,0.999611343799486,0.988584214636748,0.881979719797385,0.956725091787815,0.747649885442603
"Cuba",192,"CUB","Caribbean","Latin America and the Caribbean","Latin America & the Caribbean",0.76,0.76,0.415123279914856,0.333297885554918,0.374210582734887,0.998994348617702,0.911643480694087,0.9064380970598,0.939025307851505,0.691078629504385
"Cyprus",196,"CYP","Western Asia","Northern Africa and Western Asia","Non-UNFPA Country",0.7,0.7,0.664435894987046,0.372612681969322,0.518524288478184,1,0.984421366809419,0.931150250487115,0.971857204793654,0.730127163693819
"Czechia",203,"CZE","Eastern Europe","Europe and Northern America","Non-UNFPA Country",0.89,0.89,0.608079956143569,0.444369177422319,0.526224566782944,1,0.989362744572004,0.878448158463158,0.95593696672245,0.790720510377744
"Benin",204,"BEN","Western Africa","Sub-Saharan Africa","West & Central Africa",0.57,0.57,0.540528334391958,0.217637547312259,0.379082940852109,0.999978392549751,0.892647390318511,0.926417579685583,0.939681119911601,0.629588019624982
"Denmark",208,"DNK","Northern Europe","Europe and Northern America","Non-UNFPA Country",0.88,0.88,0.608079956143569,0.444369177422319,0.526224566782944,1,0.989674307559086,0.93027374088872,0.973316015175953,0.793180193193118
"Dominican Republic",214,"DOM","Caribbean","Latin America and the Caribbean","Latin America & the Caribbean",0.56,0.56,0.415123279914856,0.333297885554918,0.374210582734887,0.999939719610072,0.674598194730949,0.918920815116079,0.864486242287881,0.599565607741357
"Ecuador",218,"ECU","South America","Latin America and the Caribbean","Latin America & the Caribbean",0.55,0.55,0.568548387096774,0.203187250996016,0.385867819046395,0.999962432848717,0.826852281288277,0.735993790370693,0.854269500648293,0.596712439301517
"El Salvador",222,"SLV","Central America","Latin America and the Caribbean","Latin America & the Caribbean",0.54,0.54,0.415123279914856,0.333297885554918,0.374210582734887,0.997368178837282,0.0872945981911327,0.828551890517804,0.637738221877668,0.517316267686869
"Equatorial Guinea",226,"GNQ","Middle Africa","Sub-Saharan Africa","West & Central Africa",0.64,0.64,0.540528334391958,0.217637547312259,0.379082940852109,1,0.925927246201643,0.93244225063414,0.952789831325805,0.657290923402014
"Ethiopia",231,"ETH","Eastern Africa","Sub-Saharan Africa","East & Southern Africa",0.31,0.31,0.58311345646438,0.2421875,0.41265047823219,0.997482029537941,0.907489833180948,0.934706171174104,0.946559343684438,0.556403273415806
"Eritrea",232,"ERI","Eastern Africa","Sub-Saharan Africa","East & Southern Africa",0.43,0.43,0.540528334391958,0.217637547312259,0.379082940852109,0.779548972846324,0.815877068396546,0.897061017367603,0.830829018705995,0.546637319306064
"Estonia",233,"EST","Northern Europe","Europe and Northern America","Non-UNFPA Country",0.92,0.92,0.7232705719371,0.198816135264483,0.461043353600792,0.999879959186123,0.967936409069511,0.854920889647814,0.940912418360237,0.773985256546358
"Fiji",242,"FJI","Melanesia","Oceania (excluding Australia and New Zealand)","Asia & the Pacific",0.72,0.72,0.881394958152483,0.166046415324419,0.523720686738451,1,0.934792303366023,0.758071805432516,0.897621368701891,0.713780684433
"Finland",246,"FIN","Northern Europe","Europe and Northern America","Non-UNFPA Country",0.91,0.91,0.608079956143569,0.444369177422319,0.526224566782944,0.999777407083955,0.983593363810682,0.801264753733157,0.928211840614386,0.788145468344298
"France",250,"FRA","Western Europe","Europe and Northern America","Non-UNFPA Country",0.77,0.77,0.608079956143569,0.444369177422319,0.526224566782944,1,0.990135127923755,0.900914564386783,0.963683229806496,0.753302598109844
"French Guiana",254,"GUF","South America","Latin America and the Caribbean","Non-UNFPA Country",0.626129032258065,0.626129032258065,0.415123279914856,0.333297885554918,0.374210582734887,1,0.479864812225508,0.865274639939035,0.781713149939801,0.5940175877169
"French Polynesia",258,"PYF","Polynesia","Oceania (excluding Australia and New Zealand)","Non-UNFPA Country",0.6,0.6,0.881394958152483,0.166046415324419,0.523720686738451,1,0.863302746214346,0.871756610655037,0.911686451378108,0.678469045360384
"Djibouti",262,"DJI","Eastern Africa","Sub-Saharan Africa","Arab States",0.48,0.48,0.540528334391958,0.217637547312259,0.379082940852109,0.99955033022624,0.866132437470963,0.929399759096309,0.931694174666143,0.596925704575825
"Gabon",266,"GAB","Middle Africa","Sub-Saharan Africa","West & Central Africa",0.63,0.63,0.540528334391958,0.217637547312259,0.379082940852109,0.999952192568335,0.923540075468756,0.91327971270203,0.945590659300783,0.651557866066073
