"Country","ISONum","ISOAlph","Subregion","SDG","UNFPAGroup","Education_Resource_Educ_GDP","Education_Resource_SH_LGR_ACSRHES3","Education_Resource","Education_Agency_SE.SEC.ENRR","Education_Agency","Education_Achievement_UpperSec_Both","Education_Achievement","Education"
"China, Taiwan Province of China",158,"TWN","Eastern Asia","Eastern and South-Eastern Asia","Non-UNFPA Country",0.243823667367299,0.89125,0.56753683368365,0.874530356722757,0.874530356722757,0.599863627246118,0.599863627246118,0.680643605203531
"Colombia",170,"COL","South America","Latin America and the Caribbean","Latin America & the Caribbean",0.300414657592773,1,0.650207328796387,1,1,0.7195,0.7195,0.789902442142226
"Comoros",174,"COM","Eastern Africa","Sub-Saharan Africa","East & Southern Africa",0.169670661290487,0.4865625,0.328116580645243,0.549654006958008,0.549654006958008,0.298208,0.298208,0.391992862142424
"Mayotte",175,"MYT","Eastern Africa","Sub-Saharan Africa","Non-UNFPA Country",0.272722361123923,0.4865625,0.379642430561962,0.39090452454808,0.39090452454808,0.264980167392068,0.264980167392068,0.345175707155527
"Congo",178,"COG","Middle Africa","Sub-Saharan Africa","West & Central Africa",0.259866666793823,0,0.129933333396912,0.473253546820747,0.473253546820747,0.2332456,0.2332456,0.278810826460409
"Democratic Republic of the Congo",180,"COD","Middle Africa","Sub-Saharan Africa","East & Southern Africa",0.0969966650009153,0.4865625,0.291779582500458,0.40184211730957,0.40184211730957,0.2551588,0.2551588,0.316260166287082
"Costa Rica",188,"CRI","Central America","Latin America and the Caribbean","Latin America & the Caribbean",0.449750677744547,0,0.224875338872274,1,1,0.5838,0.5838,0.602891779021199
"Croatia",191,"HRV","Southern Europe","Europe and Northern America","Non-UNFPA Country",0.260377995173137,0.763157894736842,0.511767944954989,1,1,0.9469,0.9469,0.819555980832107
"Cuba",192,"CUB","Caribbean","Latin America and the Caribbean","Latin America & the Caribbean",0.855820655822753,0.614117647058823,0.734969151440788,0.999428134494358,0.999428134494358,0.8605416,0.8605416,0.864979627780069
"Cyprus",196,"CYP","Western Asia","Northern Africa and Western Asia","Non-UNFPA Country",0.383611329396566,0.288,0.335805664698283,1,1,0.9278,0.9278,0.754535220811559
"Czechia",203,"CZE","Eastern Europe","Europe and Northern America","Non-UNFPA Country",0.284461339314779,1,0.642230669657389,1,1,0.9442,0.9442,0.86214355569032
"Benin",204,"BEN","Western Africa","Sub-Saharan Africa","West & Central Africa",0.197679996490479,1,0.598839998245239,0.41668701171875,0.41668701171875,0.0839175,0.0839175,0.366481502954848
"Denmark",208,"DNK","Northern Europe","Europe and Northern America","Non-UNFPA Country",0.516829331715902,1,0.758414665857951,1,1,0.821,0.821,0.859804887759512
