"Country","ISONum","ISOAlph","Subregion","SDG","UNFPAGroup","Education_Resource_Educ_GDP","Education_Resource_SH_LGR_ACSRHES3","Education_Resource","Education_Agency_SE.SEC.ENRR","Education_Agency","Education_Achievement_UpperSec_Both","Education_Achievement","Education"
"Dominican Republic",214,"DOM","Caribbean","Latin America and the Caribbean","Latin America & the Caribbean",0.269517993927002,0.614117647058823,0.441817820492913,0.775260416666667,0.775260416666667,0.6276,0.6276,0.614892745104967
"Ecuador",218,"ECU","South America","Latin America and the Caribbean","Latin America & the Caribbean",0.275608666737875,0.614117647058823,0.444863156898349,1,1,0.723,0.723,0.722621051576829
"El Salvador",222,"SLV","Central America","Latin America and the Caribbean","Latin America & the Caribbean",0.225677331288655,1,0.612838665644328,0.65186047024197,0.65186047024197,0.5924,0.5924,0.6190330446764
"Equatorial Guinea",226,"GNQ","Middle Africa","Sub-Saharan Africa","West & Central Africa",0.272722361123923,0,0.136361180561962,0.39090452454808,0.39090452454808,0.0543,0.0543,0.193855234842825
"Ethiopia",231,"ETH","Eastern Africa","Sub-Saharan Africa","East & Southern Africa",0.337911987304687,0.4865625,0.412237243652344,0.277105204264323,0.277105204264323,0.1308728,0.1308728,0.273405082365484
"Eritrea",232,"ERI","Eastern Africa","Sub-Saharan Africa","East & Southern Africa",0.272722361123923,0.4865625,0.379642430561962,0.418856769137912,0.418856769137912,0.264980167392068,0.264980167392068,0.354493122009487
"Estonia",233,"EST","Northern Europe","Europe and Northern America","Non-UNFPA Country",0.349258009592692,0.763157894736842,0.556207952164767,1,1,0.8274,0.8274,0.794535983260386
"Fiji",242,"FJI","Melanesia","Oceania (excluding Australia and New Zealand)","Asia & the Pacific",0.337858676910401,0.89125,0.6145543384552,0.887576548258463,0.887576548258463,0.3428399,0.3428399,0.614990261622898
"Finland",246,"FIN","Northern Europe","Europe and Northern America","Non-UNFPA Country",0.417953332265218,1,0.708976666132609,1,1,0.8904,0.8904,0.866458887844411
"France",250,"FRA","Western Europe","Europe and Northern America","Non-UNFPA Country",0.360877990722656,0.763157894736842,0.562017942729749,1,1,0.8623,0.8623,0.80810598010181
"French Guiana",254,"GUF","South America","Latin America and the Caribbean","Non-UNFPA Country",0.312061009744201,0.614117647058823,0.463089328401512,0.985219761244409,0.985219761244409,0.635583696608455,0.635583696608455,0.694630928056828
"French Polynesia",258,"PYF","Polynesia","Oceania (excluding Australia and New Zealand)","Non-UNFPA Country",0.452088421583176,0.89125,0.671669210791588,0.458203709806501,0.458203709806501,0.260925397058824,0.260925397058824,0.463599438755371
"Djibouti",262,"DJI","Eastern Africa","Sub-Saharan Africa","Arab States",0.241849327087403,0.4865625,0.364205913543701,0.491913647121853,0.491913647121853,0.207201,0.207201,0.354440186534078
"Gabon",266,"GAB","Middle Africa","Sub-Saharan Africa","West & Central Africa",0.184521993001302,1,0.592260996500651,0.39090452454808,0.39090452454808,0.1382765,0.1382765,0.373814006642429
"Georgia",268,"GEO","Western Asia","Northern Africa and Western Asia","Eastern Europe & Central Asia",0.255941994984945,0.94,0.597970997492472,1,1,0.9601,0.9601,0.8526903316448
"Gambia",270,"GMB","Western Africa","Sub-Saharan Africa","West & Central Africa",0.191686662038167,1,0.595843331019084,0.445877202351888,0.445877202351888,0.3018718,0.3018718,0.447864110675793
"State of Palestine",275,"PSE","Western Asia","Northern Africa and Western Asia","Arab States",0.354591337839763,0,0.177295668919881,0.900303226047092,0.900303226047092,0.6215511,0.6215511,0.566383331089275
"Germany",276,"DEU","Western Europe","Europe and Northern America","Non-UNFPA Country",0.332849343617757,0.763157894736842,0.5480036191773,0.97267337375217,0.97267337375217,0.8007,0.8007,0.773792330202698
"Ghana",288,"GHA","Western Africa","Sub-Saharan Africa","West & Central Africa",0.266941992441813,0.4865625,0.376752246220907,0.751917521158854,0.751917521158854,0.448475,0.448475,0.525714921934205
"Kiribati",296,"KIR","Micronesia","Oceania (excluding Australia and New Zealand)","Asia & the Pacific",0.82631066640218,0.89125,0.85878033320109,0.458203709806501,0.458203709806501,0.260925397058824,0.260925397058824,0.525969812829502
"Greece",300,"GRC","Southern Europe","Europe and Northern America","Non-UNFPA Country",0.239596668879191,0,0.119798334439596,1,1,0.9305,0.9305,0.683432777463099
"Grenada",308,"GRD","Caribbean","Latin America and the Caribbean","Latin America & the Caribbean",0.236836671829223,0.614117647058823,0.425477159444023,1,1,0.635583696608455,0.635583696608455,0.687020284663806
"Guadeloupe",312,"GLP","Caribbean","Latin America and the Caribbean","Non-UNFPA Country",0.312061009744201,0.614117647058823,0.463089328401512,0.985219761244409,0.985219761244409,0.635583696608455,0.635583696608455,0.694630928056828
"Guam",316,"GUM","Micronesia","Oceania (excluding Australia and New Zealand)","Non-UNFPA Country",0.452088421583176,0.89125,0.671669210791588,0.458203709806501,0.458203709806501,0.260925397058824,0.260925397058824,0.463599438755371
"Guatemala",320,"GTM","Central America","Latin America and the Caribbean","Latin America & the Caribbean",0.219981336593628,1,0.609990668296814,0.449289321899414,0.449289321899414,0.3450681,0.3450681,0.468116029597293
"Guinea",324,"GIN","Western Africa","Sub-Saharan Africa","West & Central Africa",0.146631336212158,0.4865625,0.316596918106079,0.325932990180121,0.325932990180121,0.201692,0.201692,0.281407302480659
"Guyana",328,"GUY","South America","Latin America and the Caribbean","Latin America & the Caribbean",0.296705341339111,1,0.648352670669556,0.974753231472439,0.974753231472439,0.5614666,0.5614666,0.728190833319141
"Haiti",332,"HTI","Caribbean","Latin America and the Caribbean","Latin America & the Caribbean",0.112140003840129,0,0.0560700019200643,0.985219761244409,0.985219761244409,0.1656566,0.1656566,0.402315453985842
"Honduras",340,"HND","Central America","Latin America and the Caribbean","Latin America & the Caribbean",0.327523326873779,0,0.16376166343689,0.541485129462348,0.541485129462348,0.378,0.378,0.361082263938664
"China, Hong Kong SAR",344,"HKG","Eastern Asia","Eastern and South-Eastern Asia","Non-UNFPA Country",0.293756008148193,0.89125,0.592503004074097,1,1,0.599863627246118,0.599863627246118,0.730788876375949
"Hungary",348,"HUN","Eastern Europe","Europe and Northern America","Non-UNFPA Country",0.308487319946289,0.763157894736842,0.535822607341566,0.781349521213108,0.781349521213108,0.8569,0.8569,0.724690708793534
"Iceland",352,"ISL","Northern Europe","Europe and Northern America","Non-UNFPA Country",0.504937330881755,0.763157894736842,0.634047612809298,1,1,0.7022,0.7022,0.778749203491017
"India",356,"IND","Southern Asia","Central and Southern Asia","Asia & the Pacific",0.230065329869588,0,0.115032664934794,0.727568817138672,0.727568817138672,0.4289057,0.4289057,0.423835726933986
"Indonesia",360,"IDN","South-Eastern Asia","Eastern and South-Eastern Asia","Asia & the Pacific",0.189456669489543,0.89125,0.540353334744771,0.87677968343099,0.87677968343099,0.6318861,0.6318861,0.683006372042247
"Iran (Islamic Republic of)",364,"IRN","Southern Asia","Central and Southern Asia","Asia & the Pacific",0.244213326772054,0,0.122106663386027,0.847905476888021,0.847905476888021,0.383328940813579,0.383328940813579,0.451113693244762
"Iraq",368,"IRQ","Western Asia","Northern Africa and Western Asia","Arab States",0.291276784036674,0,0.145638392018337,0.818862255525546,0.818862255525546,0.1864567,0.1864567,0.383652448797642
"Ireland",372,"IRL","Northern Europe","Europe and Northern America","Non-UNFPA Country",0.225539334615071,0.763157894736842,0.494348614675957,1,1,0.9436,0.9436,0.812649537412669
"Israel",376,"ISR","Western Asia","Northern Africa and Western Asia","Non-UNFPA Country",0.410993321736653,0.288,0.349496660868327,1,1,0.8809,0.8809,0.74346555287931
"Italy",380,"ITA","Southern Europe","Europe and Northern America","Non-UNFPA Country",0.28371467590332,0.763157894736842,0.523436285320081,1,1,0.8327,0.8327,0.785378760987982
"Côte d'Ivoire",384,"CIV","Western Africa","Sub-Saharan Africa","West & Central Africa",0.246693340937297,0,0.123346670468648,0.526853349473741,0.526853349473741,0.1566811,0.1566811,0.268960373045169
"Jamaica",388,"JAM","Caribbean","Latin America and the Caribbean","Latin America & the Caribbean",0.360225327809652,0.614117647058823,0.487171487434238,0.811493089463976,0.811493089463976,0.8197865,0.8197865,0.706150358259921
"Japan",392,"JPN","Eastern Asia","Eastern and South-Eastern Asia","Non-UNFPA Country",0.243823667367299,1,0.62191183368365,1,1,0.599863627246118,0.599863627246118,0.740591819569331
"Kazakhstan",398,"KAZ","Central Asia","Central and Southern Asia","Eastern Europe & Central Asia",0.19046467145284,0,0.09523233572642,1,1,0.9379456,0.9379456,0.677725977897747
"Jordan",400,"JOR","Western Asia","Northern Africa and Western Asia","Arab States",0.199231338500977,0.288,0.243615669250488,0.642413669162327,0.642413669162327,0.5891,0.5891,0.491709778979229
"Kenya",404,"KEN","Eastern Africa","Sub-Saharan Africa","East & Southern Africa",0.338664658864339,0.4865625,0.41261357943217,0.39090452454808,0.39090452454808,0.4232334,0.4232334,0.408917167584499
"Dem. People's Republic of Korea",408,"PRK","Eastern Asia","Eastern and South-Eastern Asia","Asia & the Pacific",0.243823667367299,0.63,0.43691183368365,0.914142015245226,0.914142015245226,0.599863627246118,0.599863627246118,0.650305824741359
"Republic of Korea",410,"KOR","Eastern Asia","Eastern and South-Eastern Asia","Non-UNFPA Country",0.297205320994059,0.89125,0.59422766049703,0.954059431287978,0.954059431287978,0.599863627246118,0.599863627246118,0.716050238960992
"Kuwait",414,"KWT","Western Asia","Northern Africa and Western Asia","Arab States",0.436750666300456,0.288,0.362375333150228,0.975863562689887,0.975863562689887,0.389384152075026,0.389384152075026,0.575874348729173
"Kyrgyzstan",417,"KGZ","Central Asia","Central and Southern Asia","Eastern Europe & Central Asia",0.357783317565918,0.94,0.648891658782959,0.978707292344836,0.978707292344836,0.8057745,0.8057745,0.81112448289814
"Lao People's Democratic Republic",418,"LAO","South-Eastern Asia","Eastern and South-Eastern Asia","Asia & the Pacific",0.195853996276855,1,0.597926998138428,0.58624021742079,0.58624021742079,0.3109862,0.3109862,0.498384471354688
"Lebanon",422,"LBN","Western Asia","Northern Africa and Western Asia","Arab States",0.172801335652669,0.288,0.230400667826335,0.818862255525546,0.818862255525546,0.389384152075026,0.389384152075026,0.479549024662753
"Lesotho",426,"LSO","Southern Africa","Sub-Saharan Africa","East & Southern Africa",0.491667334238688,0.4865625,0.489114917119344,0.577932569715712,0.577932569715712,0.1080705,0.1080705,0.391705995219979
"Latvia",428,"LVA","Northern Europe","Europe and Northern America","Non-UNFPA Country",0.283011341094971,1,0.641505670547485,1,1,0.8378,0.8378,0.826435222689393
"Liberia",430,"LBR","Western Africa","Sub-Saharan Africa","West & Central Africa",0.153952662150065,0,0.0769763310750327,0.310038884480794,0.310038884480794,0.1298702,0.1298702,0.172295138346314
"Libya",434,"LBY","Northern Africa","Northern Africa and Western Asia","Arab States",0.291276784036674,0,0.145638392018337,0.818862255525546,0.818862255525546,0.389384152075026,0.389384152075026,0.451294932755008
"Lithuania",440,"LTU","Northern Europe","Europe and Northern America","Non-UNFPA Country",0.259663995107015,1,0.629831997553507,1,1,0.8904,0.8904,0.840077331677758
