"Country","ISONum","ISOAlph","Subregion","SDG","UNFPAGroup","SRH_Empowerment_Resource_ProviderDisc","SRH_Empowerment_Resource_SH_LGR_ACSRHES1","SRH_Empowerment_Resource_SH_LGR_ACSRHES2","SRH_Empowerment_Resource_SH_LGR_ACSRHES4","SRH_Resource","SRH_Empowerment_Agency_DS_1524","SRH_Empowerment_Agency_fert_know_m","SRH_Empowerment_Agency_fert_know_w","SRH_Empowerment_Agency_HIVKnow_m_1524","SRH_Empowerment_Agency_HIVKnow_w_1524","SRH_Empowerment_Agency_knows_ltm_stm_m","SRH_Empowerment_Agency_knows_ltm_stm_w","SRH_Agency","SRH_Empowerment_Achievement_ASFR15","SRH_Empowerment_Achievement_HIV","SRH_Empowerment_Achievement_SH_STA_MORT","SRH_Achievement","SRH"
"Bahrain",48,"BHR","Western Asia","Northern Africa and Western Asia","Arab States",0.327382881668596,0.629,0.695454545454545,0.695,0.586709356780785,0.663327430972389,0.0721108755618755,0.212456375388281,0.0746671916010499,0.0542868820852934,0.8340519802158,0.922671287264443,0.43711243175769,0.93316001018,0.99542412465972,0.987826086956522,0.972136739626611,0.665319508723043
"Bangladesh",50,"BGD","Southern Asia","Central and Southern Asia","Asia & the Pacific",0.388888888888889,0.658571428571429,0,0.39,0.359365079365079,0.584380349593819,0.0808616776450645,0.303886736941433,0.144,0.127,0.938588220154479,0.970877838014783,0.466746896492925,0.5851900468,0.990064509061697,0.849565217391304,0.808273256942727,0.544795077055449
"Armenia",51,"ARM","Western Asia","Northern Africa and Western Asia","Eastern Europe & Central Asia",0.333333333333333,0.94,0.93,0.7,0.725833333333333,0.494666666666667,0.107831154782151,0.2562672248681,0.125,0.202,0.668203413913007,0.749486439171068,0.387265195758457,0.89254998217,0.994,0.977391304347826,0.954647094551295,0.689248540525113
"Barbados",52,"BRB","Caribbean","Latin America and the Caribbean","Latin America & the Caribbean",0.415581178081178,0.63,0.2,0.65,0.473895294520295,0.885442506586539,0.159519874534071,0.24216474305548,0.296172438973503,0.284591311985946,0.871656116188024,0.840754365258863,0.558217982896121,0.832249972,0.985,0.976521739130435,0.931257236112221,0.654456837188422
"Belgium",56,"BEL","Western Europe","Europe and Northern America","Non-UNFPA Country",0.297729700854701,0.805555555555556,1,1,0.775821314102564,0.876641364136413,0.230450749706912,0.449781633015735,0.199191815856777,0.163210049796288,0.720268749312427,0.877468540507541,0.549206783308564,0.97674508276,0.988663450574511,0.995652173913044,0.987020234762165,0.770682776620415
"Bhutan",64,"BTN","Southern Asia","Central and Southern Asia","Asia & the Pacific",0.0873015873015873,0.658571428571429,0.643636363636364,0.671111111111111,0.515155122655123,0.584380349593819,0.0808616776450645,0.136006933875605,0.260623029306237,0.176758452226546,0.825062887236683,0.853648976312094,0.437715331973733,0.89908,0.990064509061697,0.840869565217391,0.910004690516358,0.620958381094113
"Bolivia (Plurinational State of)",68,"BOL","South America","Latin America and the Caribbean","Latin America & the Caribbean",0.649572649572649,0.664545454545455,0.644705882352941,0.751875,0.677674746617761,0.532,0.283117878477521,0.334504104043504,0.277,0.224,0.766387088348899,0.829265584738698,0.472284331951078,0.6755,0.994,0.865217391304348,0.844905796256543,0.664954957610173
"Bosnia and Herzegovina",70,"BIH","Southern Europe","Europe and Northern America","Eastern Europe & Central Asia",0.297729700854701,0.805555555555556,0.814285714285714,0.900952380952381,0.704630837912088,0.876641364136413,0.230450749706912,0.449781633015735,0.199191815856777,0.163210049796288,0.720268749312427,0.877468540507541,0.549206783308564,0.951790038,0.988663450574511,0.991304347826087,0.97725261115628,0.743696743381947
"Botswana",72,"BWA","Southern Africa","Sub-Saharan Africa","East & Southern Africa",0.335002047747146,0.705,0.93,0.8,0.692500511936786,0.612660822071641,0.122373259007994,0.239445185212557,0.356556084624194,0.329215866803216,0.564070123599044,0.692343007690078,0.441165646385046,0.76969490752,0.193,0.874782608695652,0.612492504792725,0.582052887122799
"Brazil",76,"BRA","South America","Latin America and the Caribbean","Latin America & the Caribbean",0.415581178081178,0.664545454545455,0.644705882352941,0.751875,0.619176878744893,0.909333333333333,0.159519874534071,0.259515989812155,0.296172438973503,0.284591311985946,0.862271314539584,0.924122930668008,0.575607565897492,0.704444992,0.979435721707161,0.947826086956522,0.877235599343992,0.690673347304786
